iter	Logloss
0	0.6420929221
1	0.5977921438
2	0.5556427731
3	0.5141675824
4	0.483952297
5	0.4553485681
6	0.4296888145
7	0.4081065766
8	0.3891425714
9	0.3703344852
10	0.3561779148
11	0.3429923195
12	0.3314830747
13	0.3216763824
14	0.3115391496
15	0.3026354834
16	0.2956149538
17	0.2894988547
18	0.2841843651
19	0.2795933389
20	0.2753314603
21	0.2711347496
22	0.2680091064
23	0.2641200221
24	0.2614053965
25	0.2588629013
26	0.2561141858
27	0.2543078526
28	0.2520036437
29	0.2500885056
30	0.2486956139
31	0.2475951705
32	0.246250761
33	0.2453722638
34	0.2445265123
35	0.2430922354
36	0.2423625165
37	0.2416994988
38	0.2407807935
39	0.2401825759
40	0.2394189772
41	0.2387605998
42	0.2382583646
43	0.2376372297
44	0.2372192664
45	0.2368279779
46	0.2364248652
47	0.2358904616
48	0.235189279
49	0.2345613335
50	0.2340414497
51	0.2337250954
52	0.233532321
53	0.2332967145
54	0.2331066225
55	0.2328398912
56	0.2324096433
57	0.2321200727
58	0.2319508027
59	0.2317736772
60	0.2314944104
61	0.2312592459
62	0.230992065
63	0.2306323554
64	0.2304354519
65	0.2303196457
66	0.2299808259
67	0.2298229352
68	0.2296607377
69	0.229544797
70	0.2294596262
71	0.2292514341
72	0.2291024312
73	0.2290359958
74	0.2287937059
75	0.2286806298
76	0.2286077933
77	0.2284977713
78	0.2282475302
79	0.2281602979
80	0.2279349575
81	0.227858716
82	0.2277035659
83	0.2276306559
84	0.2274401436
85	0.227335777
86	0.2272480074
87	0.2271612479
88	0.227012104
89	0.2269071854
90	0.2268536992
91	0.2267914736
92	0.2267209352
93	0.2266325458
94	0.2264828175
95	0.2263269286
96	0.2262120459
97	0.226127937
98	0.2260348501
99	0.225944642
100	0.2258624753
101	0.2257854328
102	0.2256731686
103	0.2255854708
104	0.2255097256
105	0.2254117751
106	0.2253099542
107	0.2252429167
108	0.22511141
109	0.2250558961
110	0.2249959981
111	0.2248926105
112	0.2248180539
113	0.2247416209
114	0.224671507
115	0.2245854193
116	0.224519064
117	0.2244493437
118	0.224385916
119	0.2243352366
120	0.2242760256
121	0.2242405012
122	0.224159497
123	0.2240980776
124	0.2240088486
125	0.2239812443
126	0.2239387302
127	0.2238822183
128	0.2238279985
129	0.2237568939
130	0.2237161839
131	0.2236492853
132	0.2235869879
133	0.2235090075
134	0.2234758229
135	0.2234474805
136	0.2233683921
137	0.2233460419
138	0.2232653208
139	0.223221724
140	0.2231860369
141	0.2231289272
142	0.2230809228
143	0.2230267197
144	0.2229573638
145	0.2229174849
146	0.2228405186
147	0.2227811309
148	0.2227463959
149	0.222678725
150	0.2226264189
151	0.2225353473
152	0.2225080155
153	0.2224732351
154	0.2223942688
155	0.2223590815
156	0.2223307754
157	0.2222573354
158	0.2222136713
159	0.222176921
160	0.2221495346
161	0.2221007774
162	0.2220370176
163	0.2219979296
164	0.2219356952
165	0.2219028634
166	0.2218627358
167	0.2217933301
168	0.2217625904
169	0.2217322449
170	0.2216666511
171	0.2216184546
172	0.2215596525
173	0.2215007516
174	0.2214822907
175	0.2214539967
176	0.2214151519
177	0.2213552077
178	0.2213202394
179	0.2212947229
180	0.2212630469
181	0.2212382865
182	0.2211836083
183	0.2211202322
184	0.221048905
185	0.2210041882
186	0.2209848548
187	0.220927949
188	0.2208803898
189	0.2208369783
190	0.220812856
191	0.2207883317
192	0.2207404976
193	0.2206929128
194	0.2206378601
195	0.2206065514
196	0.2205522369
197	0.2205018732
198	0.2204501127
199	0.2203882865
200	0.2203660867
201	0.2203461494
202	0.2203244192
203	0.2202697524
204	0.22023545
205	0.220180198
206	0.2201425
207	0.2200989636
208	0.2200467095
209	0.2199997551
210	0.2199524599
211	0.2199296372
212	0.2198779789
213	0.2198381121
214	0.2198003915
215	0.2197570621
216	0.2197280247
217	0.2196984876
218	0.2196521555
219	0.219622168
220	0.2195868866
221	0.2195399068
222	0.2195172881
223	0.2194794921
224	0.2194357761
225	0.2193970964
226	0.2193609275
227	0.2193288535
228	0.2192855183
229	0.2192378327
230	0.2191894485
231	0.2191450242
232	0.2191087222
233	0.2190758041
234	0.2190327639
235	0.2190064673
236	0.2189626901
237	0.2189215454
238	0.2188918178
239	0.2188011664
240	0.2187635565
241	0.218739815
242	0.2186955406
243	0.2186455289
244	0.2186035443
245	0.2185728521
246	0.2185518672
247	0.2185215039
248	0.2185044643
249	0.2184643939
250	0.2184370223
251	0.2183802636
252	0.2183489153
253	0.2183066668
254	0.2182854874
255	0.2182501811
256	0.2182294043
257	0.2182064711
258	0.2181604693
259	0.2181401705
260	0.2181214823
261	0.2180927295
262	0.218070655
263	0.2180472543
264	0.2180168155
265	0.2179788698
266	0.2179573255
267	0.2179313958
268	0.2179058199
269	0.2178698392
270	0.2178318453
271	0.2178083965
272	0.217772779
273	0.2177285125
274	0.2177066454
275	0.2176854488
276	0.2176558517
277	0.2176108794
278	0.2175960003
279	0.2175634308
280	0.2175193268
281	0.2174995685
282	0.2174740697
283	0.2174384046
284	0.2174175451
285	0.2173869608
286	0.2173545407
287	0.2173353614
288	0.217315715
289	0.2172950831
290	0.2172600706
291	0.2172184762
292	0.2171844919
293	0.2171664189
294	0.2171496818
295	0.2170985257
296	0.2170829056
297	0.2170587849
298	0.2170269357
299	0.2169960779
300	0.2169557465
301	0.2169271388
302	0.2168502858
299	0.08577141577
300	0.08553841927
301	0.08525279678
302	0.08505725551
303	0.0849200374
304	0.08475061344
305	0.08453279483
306	0.08433015413
307	0.08422861994
308	0.08404914756
309	0.08384606524
310	0.08371315757
311	0.08357417496
312	0.08342046714
313	0.0830814943
314	0.08288746649
315	0.08259332043
316	0.08238682386
317	0.08218536189
318	0.08200396354
319	0.08184488834
320	0.0816477127
321	0.08157572367
322	0.08142274412
323	0.08117432599
324	0.08094157719
325	0.0807034328
326	0.08057464229
327	0.08028885257
328	0.08009877328
329	0.07994967038
330	0.07980234973
331	0.07960014891
332	0.07947494965
333	0.07932331539
334	0.07914445571
335	0.07902246207
336	0.07887974221
337	0.07874581655
338	0.07855188365
339	0.07833551866
340	0.07819022272
341	0.07792742017
342	0.07783431965
343	0.07761300906
344	0.07752591921
345	0.07740387294
346	0.07719289941
347	0.0770730211
348	0.07691983656
349	0.07673016982
350	0.07660901058
351	0.07651207696
352	0.07641628175
353	0.07618027357
354	0.07599837301
355	0.07582782225
356	0.07570251239
357	0.07559671078
358	0.0752929893
359	0.07507497575
360	0.0750051074
361	0.07487651994
362	0.07476822395
363	0.07466540553
364	0.07451724271
365	0.0743348289
366	0.07420370456
367	0.07403721247
368	0.07377870771
369	0.0735743889
370	0.073454458
371	0.07328940151
372	0.07310933839
373	0.07293685009
374	0.07285303322
375	0.07267612062
376	0.07253619423
377	0.07226834927
378	0.07208212061
379	0.07191601775
380	0.07165966785
381	0.0714893597
382	0.07134561674
383	0.07122438565
384	0.07112450035
385	0.07085139416
386	0.07061963709
387	0.07045921032
388	0.07022687376
389	0.07007339264
390	0.0699755031
391	0.06986970764
392	0.06972905623
393	0.06965854796
394	0.06951820755
395	0.06927855693
396	0.06913526268
397	0.06901682361
398	0.06877350796
399	0.06870844192
400	0.06848774036
401	0.06843847638
402	0.06824357266
403	0.06810690073
404	0.06797357496
405	0.06789532344
406	0.06777355144
407	0.06769288091
408	0.06750357621
409	0.06739152214
410	0.06730805837
411	0.06713436934
412	0.06693463546
413	0.06680229634
414	0.06666503282
415	0.06649894877
416	0.06642892996
417	0.06619330181
418	0.06613993552
419	0.06597558866
420	0.06588313878
421	0.06570605281
422	0.06559797219
423	0.06549106243
424	0.06541761604
425	0.06531105448
426	0.06516761795
427	0.06502836873
428	0.06487409247
429	0.06476643158
430	0.06468186401
431	0.06455946404
432	0.06437919046
433	0.06429771835
434	0.06407950779
435	0.06398913911
436	0.06389931788
437	0.06373254172
438	0.06367958185
439	0.06357210164
95
453	0.2131209138
454	0.2130864603
455	0.2130512935
456	0.2130314409
457	0.2130001092
458	0.2129876347
459	0.2129540577
460	0.2129114626
461	0.2128738212
462	0.2128519025
463	0.2128246983
464	0.2128063848
465	0.2127872286
466	0.2127548784
467	0.2127170054
468	0.212709969
469	0.2127052038
470	0.2126883075
471	0.2126829023
472	0.2126759021
473	0.2126561405
474	0.2126305107
475	0.2126108433
476	0.2125762771
477	0.2125514495
478	0.2125336183
479	0.2125084592
480	0.212501874
481	0.2124740232
482	0.2124492886
483	0.2124256383
484	0.2123878522
485	0.212358766
486	0.212335055
487	0.2123147985
488	0.2122880032
489	0.2122814068
490	0.2122560127
491	0.2122392963
492	0.212225023
493	0.2122020501
494	0.2121824917
495	0.2121540858
496	0.2121342931
497	0.2120959378
498	0.2120710247
499	0.2120471619
500	0.2120179458
501	0.2119980652
502	0.2119819948
503	0.2119631859
504	0.2119406719
505	0.2119189716
506	0.2119137963
507	0.2118955911
508	0.2118777158
509	0.2118716407
510	0.2118456943
511	0.2118294709
512	0.211801577
513	0.2117841291
514	0.2117669613
515	0.2117612197
516	0.2117555328
517	0.2117309722
518	0.2117201661
519	0.2116988767
520	0.2116854118
521	0.2116602105
522	0.2116484955
523	0.2116418093
524	0.21162695
525	0.2116070506
526	0.2115737102
527	0.2115494539
528	0.2115242555
529	0.21150781
530	0.2114930879
531	0.2114762408
532	0.211453996
533	0.2114418125
534	0.2114161762
535	0.211402486
536	0.2113785939
537	0.211352945
538	0.211326336
539	0.2113151019
540	0.2113012619
541	0.2112869527
542	0.2112633786
543	0.2112541891
544	0.2112373151
545	0.2112120123
546	0.2111891678
547	0.2111552068
548	0.2111227182
549	0.2111085533
550	0.2110812853
551	0.2110646782
552	0.2110540792
553	0.2110429582
554	0.2110250515
555	0.2110032929
556	0.2109814026
557	0.2109590283
558	0.2109539044
559	0.210923611
560	0.2109042351
561	0.2108964893
562	0.2108880285
563	0.2108701238
564	0.2108463601
565	0.2108300667
566	0.2108251045
567	0.2108206995
568	0.210782226
569	0.2107593453
570	0.2107291452
571	0.210708632
572	0.2106831656
573	0.2106571595
574	0.2106463708
575	0.2106299834
576	0.2106003595
577	0.2105806658
578	0.2105609362
579	0.2105489174
580	0.2105274414
581	0.2105131117
582	0.2104975396
583	0.2104726993
584	0.2104607637
585	0.210429653
586	0.2104130635
587	0.2103896422
588	0.2103687199
589	0.2103542121
590	0.2103429567
591	0.2103238887
592	0.2103121195
593	0.2102957251
594	0.2102814596
595	0.2102380574
596	0.2102090217
597	0.2101880597
598	0.2101691402
599	0.2101475776
600	0.2101304735
601	0.2101177517
602	0.2101064666
603	0.2100946952
604	0.2100723703
605	0.2100507867
606	0.2100345721
607	0.2100241217
608	0.2100154993
609	0.210003779
610	0.209980587
611	0.2099753628
612	0.2099594535
613	0.2099421975
614	0.2099141015
615	0.209892006
616	0.2098893046
617	0.2098704783
618	0.209845135
619	0.2098325193
620	0.2098115921
621	0.2097936868
622	0.2097780907
623	0.2097545472
624	0.2097444549
625	0.2097242083
626	0.2096990907
627	0.2096684436
628	0.209645979
629	0.2096314176
630	0.2096199943
631	0.2095974427
632	0.2095759179
633	0.2095577337
634	0.2095272836
635	0.2095013091
636	0.2094795839
637	0.2094747055
638	0.2094706864
639	0.209458214
640	0.2094375006
641	0.209423031
642	0.2094091835
643	0.2093950507
644	0.2093825406
645	0.2093644069
646	0.2093413855
647	0.2093152193
648	0.2093032584
649	0.2092897818
650	0.209285735
651	0.2092705903
652	0.2092552538
653	0.2092309278
654	0.2092113983
655	0.2091999609
656	0.209180758
657	0.2091605831
658	0.2091459778
659	0.2091193464
660	0.2091052258
661	0.2090723371
662	0.2090541103
663	0.2090357384
664	0.2090211851
665	0.2090093396
666	0.2090052771
667	0.2089889712
668	0.2089855749
669	0.2089748849
670	0.2089565026
671	0.2089376694
672	0.2089341728
673	0.2089208677
674	0.2088997606
675	0.2088866606
676	0.2088725957
677	0.2088529003
678	0.2088400403
679	0.2088357971
680	0.2088210092
681	0.208798907
682	0.20878562
683	0.2087710289
684	0.2087677273
685	0.2087523076
686	0.2087372206
687	0.2087074199
688	0.2086935116
689	0.2086745386
690	0.2086652965
691	0.2086463267
692	0.2086308769
693	0.2086198288
694	0.2086047046
695	0.2085853141
696	0.2085693907
697	0.208557011
698	0.208536724
699	0.2085325471
700	0.2085067264
701	0.2084860456
702	0.2084687295
703	0.2084625281
704	0.2084531764
705	0.2084390234
706	0.2084260047
707	0.2084229221
708	0.2084122113
709	0.2083955796
710	0.2083790253
711	0.2083719487
712	0.2083625712
713	0.208352484
714	0.208343407
715	0.2083348219
716	0.2083180933
717	0.2083051862
718	0.2082921824
719	0.2082760938
720	0.2082594748
721	0.2082404878
722	0.2082175713
723	0.2081773126
724	0.2081539555
725	0.2081355304
726	0.2081215873
727	0.2081079161
728	0.2080866405
729	0.2080688948
730	0.2080556059
731	0.208038923
732	0.2080221453
733	0.2080101392
734	0.2079946619
735	0.2079908968
736	0.2079694366
737	0.2079603674
738	0.2079498513
739	0.2079334939
740	0.2079170234
741	0.2079112894
742	0.2078989819
743	0.207891284
744	0.2078882639
745	0.2078719279
746	0.2078605751
747	0.2078537827
748	0.2078301611
749	0.2078118454
